episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
39,0,Up,13,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0
39,1,Right,13,0,0,4,2,1,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0
39,2,Right,12,0,0,4,2,1,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0
39,3,Right,12,0,0,4,2,1,2,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0
39,4,Up,11,0,0,4,2,1,0,0,4,4,0,0,0,2,0,0,2,0,0,0,0,0,0,0,4,4,2,0,2,2,0,0,0,0,0,0,0,0
39,5,Right,12,0,0,8,2,1,0,0,4,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,4,0,0,0,0,0,0,0,0
39,6,Up,11,0,0,8,2,1,0,0,0,8,2,0,2,4,0,0,0,0,0,0,0,0,2,0,2,8,0,0,0,4,0,0,0,2,0,0,0,0
39,7,Right,11,0,0,8,2,1,2,0,2,8,0,0,0,4,0,0,0,2,0,0,0,0,0,0,4,8,0,0,0,4,0,2,0,2,0,0,0,0
39,8,Up,10,0,0,8,2,1,0,0,4,8,0,0,0,4,0,2,0,2,0,0,0,0,0,2,4,8,2,0,0,4,0,0,0,2,0,0,0,0
39,9,Right,9,0,0,8,2,1,0,2,4,8,2,0,0,4,0,0,0,2,0,0,0,0,0,2,4,8,0,0,2,4,2,0,0,2,0,0,0,0
39,10,Up,8,0,0,8,2,1,0,2,4,8,0,0,2,4,2,0,0,2,0,0,0,0,2,2,4,8,0,0,2,4,0,0,2,2,0,0,0,0
39,11,Right,9,0,0,8,2,1,2,2,4,8,0,0,2,4,0,0,2,2,0,0,0,0,0,4,4,8,0,0,2,4,0,0,2,4,0,0,0,0
39,12,Up,10,0,0,8,2,1,0,4,4,8,0,0,2,4,0,0,2,4,0,0,0,0,0,4,4,8,0,0,4,8,0,0,2,0,0,0,0,0
39,13,Right,10,0,0,8,2,1,0,4,4,8,0,0,4,8,0,0,2,0,0,0,0,0,0,0,8,8,0,0,4,8,0,0,0,2,0,2,0,0
39,14,Right,10,0,0,16,2,1,0,0,8,8,0,0,4,8,0,0,0,2,0,2,0,0,0,0,0,16,0,0,4,8,0,0,2,2,0,0,0,2
39,15,Right,10,0,0,16,2,1,0,0,0,16,0,0,4,8,0,0,2,2,0,0,0,2,0,0,0,16,0,2,4,8,0,0,0,4,0,0,0,2
39,16,Up,9,0,0,16,2,1,0,0,0,16,0,2,4,8,0,0,0,4,0,0,0,2,0,2,4,16,0,0,0,8,0,0,0,4,2,0,0,2
39,17,Right,9,0,0,16,2,1,0,2,4,16,0,0,0,8,0,0,0,4,2,0,0,2,0,2,4,16,0,0,2,8,0,0,0,4,0,0,0,4
39,18,Up,9,0,0,16,2,1,0,2,4,16,0,0,2,8,0,0,0,4,0,0,0,4,0,2,4,16,0,0,2,8,0,0,2,8,0,0,0,0
39,19,Up,10,0,0,16,2,1,0,2,4,16,0,0,2,8,0,0,2,8,0,0,0,0,0,2,4,16,0,0,4,16,0,0,0,0,0,2,0,0
