episode,step,action,empty_cells,times_max_reduced,times_other_reduced,max_tile_val,special_pos_row,special_pos_col,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12,state_13,state_14,state_15,next_0,next_1,next_2,next_3,next_4,next_5,next_6,next_7,next_8,next_9,next_10,next_11,next_12,next_13,next_14,next_15
47,0,Left,13,0,0,2,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
47,1,Up,13,0,0,4,2,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
47,2,Left,12,0,0,4,2,2,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0
47,3,Up,12,0,0,4,2,2,4,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,4,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0
47,4,Left,11,0,0,4,2,2,4,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,4,2,0,0,4,0,0,0,2,2,0,0,0,0,0,0
47,5,Up,12,0,0,8,2,2,4,2,0,0,4,0,0,0,2,2,0,0,0,0,0,0,8,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0
47,6,Left,11,0,0,8,2,2,8,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,8,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0
47,7,Up,11,0,0,8,2,2,8,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,8,4,0,0,4,0,0,0,2,0,2,0,0,0,0,0
47,8,Left,11,0,0,8,2,2,8,4,0,0,4,0,0,0,2,0,2,0,0,0,0,0,8,4,2,0,4,0,0,0,4,0,0,0,0,0,0,0
47,9,Up,11,0,0,8,2,2,8,4,2,0,4,0,0,0,4,0,0,0,0,0,0,0,8,4,2,0,8,0,2,0,0,0,0,0,0,0,0,0
47,10,Left,10,0,0,8,2,2,8,4,2,0,8,0,2,0,0,0,0,0,0,0,0,0,8,4,2,0,8,2,0,2,0,0,0,0,0,0,0,0
47,11,Up,10,0,0,16,2,2,8,4,2,0,8,2,0,2,0,0,0,0,0,0,0,0,16,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0
47,12,Left,11,0,0,16,2,2,16,4,2,2,0,2,2,0,0,0,0,0,0,0,0,0,16,4,4,0,4,0,0,0,0,0,0,0,0,0,2,0
47,13,Up,10,0,0,16,2,2,16,4,4,0,4,0,0,0,0,0,0,0,0,0,2,0,16,4,4,0,4,0,2,0,0,0,0,0,2,0,0,0
47,14,Left,10,0,0,16,2,2,16,4,4,0,4,0,2,0,0,0,0,0,2,0,0,0,16,8,0,0,4,2,0,0,0,0,0,0,2,0,0,2
47,15,Up,9,0,0,16,2,2,16,8,0,0,4,2,0,0,0,0,0,0,2,0,0,2,16,8,0,2,4,2,0,0,2,0,0,0,0,0,2,0
47,16,Left,8,0,0,16,2,2,16,8,0,2,4,2,0,0,2,0,0,0,0,0,2,0,16,8,2,0,4,2,0,0,2,0,0,0,2,0,2,0
